name,label,varName,unit,quantity
cis n-6 C20:2 /100g FA (g),cis n-6 Eicosadienoic acid per 100g fatty acids,FAC20_2cn6,g,
C20:3 /100g FA (g),Eicosatrienoic acid per 100g fatty acids,FAC20_3,g,
cis n-6 C20:3 /100g FA (g),cis n-6 Eicosatrienoic acid per 100g fatty acids,FAC20_3cn6,g,
C20:4 /100g FA (g),Eicosatetraenoic acid per 100g fatty acids,FAC20_4,g,
cis n-6 C20:4 /100g FA (g),cis n-6 Eicosatetraenoic acid per 100g fatty acids,FAC20_4cn6,g,
C20:5 /100g FA (g),Eicosapentaenoic acid per 100g fatty acids,FAC20_5,g,
cis n-3 C20:5 /100g FA (g),cis n-3 Eicosapentaenoic acid per 100g fatty acids,FAC20_5cn3,g,
unknown C20 poly /100 FA (g),C20 polyunsaturated fatty acid per 100 fatty acid,FAC20_poly,g,
C21:5 /100g FA (g),Heneicosapentaenoic acid per 100g fatty acids,FAC21_5,g,
cis n-3 C21:5 /100g FA (g),cis n-3 Heneicosapentaenoic acid per 100g fatty acids,FAC21_5cn3,g,
C22:2 /100g FA (g),Docosadienoic acid per 100g fatty acids,FAC22_2,g,
cis n-6 C22:2 /100g FA (g),cis n-6 Docosadienoic acid per 100g fatty acids,FAC22_2cn6,g,
cis n-6 C22:3 /100g FA (g),cis n-6,FAC22_3cn6,g,
C22:4 /100g FA (g),Docosatetraenoic acid per 100g fatty acids,FAC22_4,g,
cis n-6 C22:4 /100g FA (g),cis n-6 Docosatetraenoic acid per 100g fatty acids,FAC22_4cn6,g,
C22:5 /100g FA (g),Docosapentaenoic acid per 100g fatty acids,FAC22_5,g,
cis n-3 C22:5 /100g FA (g),cis n-3 Docosapentaenoic acid per 100g fatty acids,FAC22_5cn3,g,
C22:6 /100g FA (g),Docosahexaenoic acid (DHA) per 100g fatty acids,FAC22_6,g,
cis n-3 C22:6 /100g FA (g),cis n-3 Docosahexaenoic acid (DHA) per 100g FA,FAC22_6cn3,g,
unknown C22 poly /100g FA (g),C22 polyunsaturated fatty acid per 100g fatty acid,FAC22_poly,g,
trans poly /100g FA (g),trans polyunsatsaturated fatty acid per 100g fatty acid,POLYFACtr,g,
C16:2 /100g food (g),Hexadecadienoic acid per 100g food,FOD16_2,g,
cis C16:2 /100g food (g),cis Hexadecadienoic acid per 100g food,FOD16_2c,g,
C16:3 /100g food (g),Hexadecatrienoic acid per 100g food,FOD16_3,g,
C16:4 /100g food (g),Hexadecatetraenoic acid per 100g food,FOD16_4,g,
cis C16:4 /100g food (g),cis Hexadecatetraenoic acid per 100g food,FOD16_4c,g,
unknown C16 poly /100g food (g),C16 polyunsaturated fatty acids per 100g food,FOD16_poly,g,
C18:2 /100g food (g),Octadecadienoic acid per 100g food,FOD18_2,g,
cis n-6 C18:2 /100g food (g),cis n-6 Octadecadienoic acid per 100g food,FOD18_2cn6,g,
C18:3 /100g food (g),Octadecatrienoic acid per 100g food,FOD18_3,g,
cis n-3 C18:3 /100g food (g),cis n-3 Octadecatrienoic acid per 100g food,FOD18_3cn3,g,
cis n-6 C18:3 /100g food (g),cis n-6 Octadecatrienoic acid per 100g food,FOD18_3cn6,g,
C18:4 /100g food (g),Octadecatetraenoic acid per 100g food,FOD18_4,g,
cis n-3 C18:4 /100g food (g),cis n-3 Octadecatetraenoic acid per 100g food,FOD18_4cn3,g,
unknown C18 poly /100g food (g),C18 polyunsaturated fatty acid per 100g food,FOD18_poly,g,
C20:2 /100g food (g),Eicosadienoic acid per 100g food,FOD20_2,g,
cis n-6 C20:2 /100g food (g),cis n-6 Eicosadienoic acid per 100g food,FOD20_2cn6,g,
C20:3 /100g food (g),Eicosatrienoic acid per 100g food,FOD20_3,g,
cis n-6 C20:3 /100g food (g),cis n-6 Eicosatrienoic acid per 100g food,FOD20_3cn6,g,
C20:4 /100g food (g),Eicosatetraenoic acid per 100g food,FOD20_4,g,
cis n-6 C20:4 /100g food (g),cis n-6 Eicosatetraenoic acid per 100g food,FOD20_4cn6,g,
C20:5 /100g food (g),Eicosapentaenoic acid per 100g food,FOD20_5,g,
cis n-3 C20:5 /100g food (g),cis n-3 Eicosapentaenoic acid per 100g food,FOD20_5cn3,g,
unknown C20 poly /100g food (g),C20 polyunsaturated fatty acid per 100g food,FOD20_poly,g,
C21:5 /100g food (g),Heneicosapentaenoic acid per 100g food,FOD21_5,g,
cis n-3 C21:5 /100g food (g),cis n-3 Heneicosapentaenoic acid per 100g food,FOD21_5cn3,g,
C22:2 /100g food (g),Docosadienoic acid per 100g food,FOD22_2,g,
cis n-6 C22:2 /100g food (g),cis n-6 Docosadienoic acid per 100g food,FOD22_2cn6,g,
cis n-6 C22:3 /100g food (g),cis n-6,FOD22_3cn6,g,
C22:4 /100g food (g),Docosatetraenoic acid per 100g food,FOD22_4,g,
cis n-6 C22:4 /100g food (g),cis n-6 Docosatetraenoic acid per 100g food,FOD22_4cn6,g,
C22:5 /100g food (g),Docosapentaenoic acid per 100g food,FOD22_5,g,
cis n-3 C22:5 /100g food (g),cis n-3 Docosapentaenoic acid per 100g food,FOD22_5cn3,g,
C22:6 /100g food (g),Docosahexaenoic acid (DHA) per 100g food,FOD22_6,g,
cis n-3 C22:6 /100g food (g),cis n-3 Docosahexaenoic acid (DHA) per 100g food,FOD22_6cn3,g,
unknown C22 poly /100g food (g),polyunsaturated fatty acid per 100g food,FOD22_poly,g,
trans poly /100g food (g),trans polyunsaturated fatty acid per 100g food,POLYFODtr,g,
Total Phytosterols (mg),Total Phytosterols,Total_PHYTO,mg,
Other Cholesterol and Phytosterols (mg),Other Cholesterol and Phytosterols,Other_CHOL_and_PHYTO,mg,
Phytosterol (mg),Phytosterol,PHYTO,mg,
Beta-sitosterol (mg),Beta-sitosterol,BSITPHYTO,mg,
Brassicasterol (mg),Brassicasterol,BRASPHYTO,mg,
Campesterol (mg),Campesterol,CAMPHYTO,mg,
Delta-5-avenasterol (mg),Delta-5-avenasterol,D5AVEN,mg,
Delta-7-avenasterol (mg),Delta-7-avenasterol,D7AVEN,mg,
Delta-7-stigmastenol (mg),Delta-7-stigmastenol,D7STIG,mg,
Stigmasterol (mg),Stigmasterol,STIGPHYTO,mg,
Citric acid (g),Citric acid,CITA,g,
Malic acid (g),Malic acid,MALA,g,
